gene,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,t_depth,t_ref_count,t_alt_count,label
7-Mar,0,0.063583815,0,0.007462687,0.007042254,0.007751938,0.030612245,0,0.002136752,0.01091376,0.014569536,0,0,0.006351223,0.00990099,0,0.013257576,0.006578947,0,0.011648381,0,0.035198785,0.404377259,0.092515294,0.916661943,0.398500522,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.5,0.235158953,0.235132649,0.280945678,0.150826446,0.041529605,0.438318581,0.727074437,0.542857143,0.133657231,0.769954399,0.904165452,0.039758553,0.012393699,0.604997979,0.001541506,0.01206546,0.149096548,0,0,0,0
4-Sep,0,0.019267823,0,0,0.004694836,0,0,0,0.030626781,0.007917826,0.00397351,0,0,0.010161956,0.00330033,0,0.005681818,0,0,0.01097115,0,0.033172955,0.404377259,0.092515294,0.898051231,0.433592966,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.727272727,0.228881242,0.228883667,0.211587939,0.172865014,0.040296053,0.321716693,0.610386033,0.271428571,0.168143298,0.928734287,0.910866083,0.142238237,0.233041098,0.515810252,0.001541506,0.01206546,0.063253081,0,0,0,0
5S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0.00073692,0,0,0,0,0,0,6.77E-05,0,0,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0,0.016378626,0.010601216,0.041807767,0
A3GALT2,0,0,0,0,0.004694836,0,0,0,0,0.002353948,0.001324503,0,0,0.002540489,0.00330033,0,0.003787879,0,0,0.002167141,0,0.007850089,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0.071362451,0.055842961,0.051602976,0.047136208,0
AACSP1,0,0,0,0,0,0,0,0,0.003561254,0,0,0,0.036845984,0,0.00330033,0,0,0,0,0.003792496,0,0.012914662,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0.026760919,0.029382534,0.028348787,0.030609258,0
AAED1,0,0.023121387,0,0,0,0,0,0,0,0.001604965,0.002649007,0.2,0,0.002222928,0.00330033,0,0,0,0,0.00257348,0,0.008863003,0.404377259,0.092515294,0.83253467,0.486552782,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.363636364,0.402107542,0.402108668,0.077987039,0.210055096,0.052220395,0.335532547,0.660555005,0.085714286,0.125464429,0.771949847,0.889067788,0.093780601,0.138605101,0.217890479,2.12E-05,0.000504541,0.060212068,0.102780849,0.091086761,0.081048391,0
AAGAB,0,0.009633911,0,0.029850746,0.011737089,0,0,0,0.002136752,0.003423925,0.00397351,0,0,0.004763417,0.00330033,0,0.009469697,0,0,0.004266558,0,0.015700177,0.60875995,0.012057833,0.830423558,0.369974492,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.636363636,0.272974,0.273143347,0.075518776,0.134297521,0.0234375,0.401982559,0.7596412,0.142857143,0.163951621,0.947263398,0.784473964,0.121762869,0.204331205,0.227725161,0.000267621,0.007063572,0.060212068,0.147000018,0.122654506,0.13396247,0
AAK1,0.189814815,0.096339114,0,0.059701493,0.004694836,0,0.020408163,0,0.007122507,0.012518725,0.006622517,0,0,0.015242934,0.01320132,0,0.018939394,0.026315789,0,0.018488419,0,0.053431248,0.598322451,0.020071471,0.877521704,0.356179434,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.001424824,0.000239278,0.045454545,0.281843571,0.282547111,0.154761959,0.126721763,0.019736842,0.271352517,0.70452071,0.128571429,0.178622472,0.970353486,0.697201506,0.072309746,0.080460154,0.386081747,0.000118605,0.002522704,0.068813792,0.079228474,0.066585423,0.080313644,1
AAMDC,0,0.009633911,0,0,0.002347418,0,0,0,0.000712251,0.001497967,0.002649007,0,0,0.001587806,0.00330033,0,0.001893939,0,0,0.001896248,0,0.007090403,0.404377259,0.092515294,0.870857442,0.417530113,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.454545455,0.313599012,0.313755719,0.139820989,0.162534435,0.052220395,0.232354574,0.703918603,0.157142857,0.248547221,0.984891702,0.716853274,0.103665707,0.155250815,0.389039486,9.84E-05,0.002018163,0.075822604,0.115736495,0.092989112,0.121098361,0
ABAT,0,0.009633911,0,0.014925373,0.002347418,0,0,0,0.000712251,0.010271774,0.009271523,0,0,0.014607812,0.00990099,0,0.001893939,0,0,0.010835704,0,0.032919727,0.544447217,0.178491988,0.847179113,0.414237773,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.007918005,0.007457787,0.681818182,0.035326918,0.035738397,0.09747934,0.16046832,0.078125,0.44809289,0.474436075,0.057142857,0.151376591,0.947833481,0.843677101,0.11522414,0.144076764,0.473830591,0.000580859,0.014127144,0.060354413,0.102607042,0.085525801,0.100148213,1
ABCA1,0,0.06743738,0,0.02238806,0.058685446,0.03875969,0.020408163,0,0.027065527,0.038305157,0.033112583,0,0,0.03651953,0.03630363,0,0.058712121,0.039473684,0,0.039279426,0,0.103317296,0.591579796,0.050326411,0.799601494,0.641729744,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.00715247,0.008082691,0.363636364,0.435047356,0.435585026,0.047220503,0.35261708,0.053453947,0.248309763,0.433181515,0.157142857,0.178050888,0.988597503,0.882856919,0.117523719,0.159601825,0.382669565,0.000498748,0.012108981,0.092048333,0.115099612,0.09432204,0.11545509,1
ABCA4,0,0.015414258,0,0.082089552,0.011737089,0.015503876,0,0,0.016381766,0.042799058,0.055629139,0,0,0.063512226,0.075907591,0,0.009469697,0.019736842,0,0.047812542,0,0.122056217,0.232221803,0.198683137,0.862990718,0.427245869,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.073679919,0.012673787,0,0.382095637,0.382560268,0.12402945,0.168732782,0.011101974,0.305924813,0.516884047,0.114285714,0.163856345,0.971208663,0.888410366,0.110597758,0.154196012,0.430804409,0,0,0.062175866,0.123469639,0.103072324,0.11552112,1
ABCB11,0,0.036608863,0,0.037313433,0.023474178,0.023255814,0,0,0.000712251,0.028354376,0.041059603,0,0,0.034296602,0.02970297,0,0.022727273,0.019736842,0,0.029527292,0,0.084325146,0.081488888,0.145179268,0.808542211,0.590845202,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.134013144,0.047758125,0.045454545,0.686903663,0.687269217,0.054110811,0.299586777,0.0390625,0.176617565,0.533979489,0.071428571,0.169953326,0.976624818,0.885856153,0.109647675,0.186894289,0.274349543,5.11E-05,0.002018163,0.07561801,0.114384991,0.096389379,0.10548247,1
ABCB4,0,0.009633911,0,0,0.051643192,0.03875969,0.020408163,0,0.001424501,0.032099294,0.055629139,0.2,0,0.03366148,0.00660066,0.2,0.045454545,0.032894737,0,0.031084925,0,0.086604204,0.283265414,0.161673052,0.809049009,0.749609317,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.272727273,0.352040032,0.352285334,0.054530203,0.490358127,0.107319079,0.164777738,0.567532366,0.071428571,0.172334939,0.970923569,0.891619799,0.123257623,0.165567914,0.277344176,0.001056423,0.000504541,0.087285614,0.134297501,0.112768259,0.121463368,1
ABCB5,0,0.032755299,0,0.007462687,0.016431925,0.015503876,0,0,0.051994302,0.045687995,0.055629139,0,0,0.038107336,0.056105611,0,0.022727273,0.032894737,0,0.046661249,0,0.124841732,0.105121995,0.217149929,0.788286299,0.648492768,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.138887037,0.054296773,0.272727273,0.083430233,0.083965878,0.039743592,0.360192837,0.111430921,0.125796126,0.544966474,0.042857143,0.172620766,0.973489205,0.888642786,0.081368884,0.067341293,0.207582576,0.001541506,0.01206546,0.107928334,0.115835322,0.098200142,0.104545737,1
ABCB6,0,0.009633911,0,0.007462687,0.021126761,0.03875969,0,0,0.001424501,0.012090734,0.018543046,0,0,0.014925373,0.00990099,0,0.017045455,0.032894737,0,0.012528782,0,0.04178273,0.565329785,0.038508352,0.889989974,0.136689874,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.081835431,0.005466369,0.045454545,0.890436842,0.890388635,0.187135564,0.035812672,0.032894737,0.38478623,0.713524611,0.471428571,0.160903113,0.901083221,0.920576458,0.104570477,0.150240603,0.553457802,0.00013381,0.00554995,0.075265085,0.082988413,0.068155429,0.088681021,1
ABCB7,0,0.01734104,0,0.007462687,0.011737089,0.007751938,0,0,0,0.016477637,0.01192053,0,0,0.014607812,0.00990099,0,0.018939394,0.006578947,0,0.014695923,0,0.043302102,0.526145394,0.009799302,0.795402419,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.030306618,0.059133293,1,0.300410135,0.300777396,0.044294391,0.219308349,0.108552632,0.123852762,0.499433048,0.057142857,0.08526245,0.702964676,0.892531961,0.069807433,0.052640259,0.199385388,0.000197674,0.010595358,0.095086669,0.106427911,0.090557863,0.096756865,1
ABCB8,0,0.011560694,0,0.052238806,0.004694836,0,0.010204082,0,0.009259259,0.014337685,0.010596026,0,0,0.022229279,0.00330033,0,0.005681818,0,0,0.016185832,0,0.050392504,0.581492201,0.015889102,0.875714214,0.430432146,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.007510702,0.000711669,0.272727273,0.609796489,0.609806459,0.1505586,0.170798898,0.0546875,0.78227782,0.739145741,0.371428571,0.15861674,0.91619152,0.903606024,0.090712447,0.085206675,0.694573649,8.49E-05,0.00554995,0.053898752,0.075041802,0.065556691,0.068259146,1
ABCC1,0,0.021194605,0,0,0.018779343,0.100775194,0.010204082,0.090909091,0.001424501,0.0272844,0.02384106,0,0,0.05049222,0.01980198,0,0.020833333,0.098684211,0,0.030407693,0,0.085844518,0.637183796,0.048960585,0.848243987,0.294128274,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.681818182,0.064767231,0.065514842,0.099073606,0.095730028,0.080180921,0.464447856,0.695839631,0.085714286,0.153472411,0.947548492,0.849975952,0.103717202,0.129046129,0.55420983,0.000511926,0.024217962,0.049173189,0.114878487,0.098577357,0.099546494,1
ABCC10,0,0.030828516,0,0,0.018779343,0.007751938,0,0,0.00997151,0.023753477,0.010596026,0,0,0.035566847,0.00330033,0,0.017045455,0.006578947,0,0.025193011,0,0.076981514,0.549573168,0.017136672,0.922574528,0.239803856,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.063299617,0.019973876,0.227272727,0.175471274,0.175504768,0.307426256,0.07231405,0.03125,0.444752915,0.77829516,0.442857143,0.179289332,0.939281608,0.926838975,0.124546579,0.160755453,0.64511635,3.55E-06,0.001009082,0.054942772,0.105191278,0.089586517,0.095593618,1
ABCC11,0,0.04238921,0,0.134328358,0.018779343,0.007751938,0,0,0.001424501,0.032206291,0.022516556,0,0,0.044140997,0.02970297,0,0.024621212,0.013157895,0,0.03399702,0,0.096480122,0.187595693,0.272963641,0.806441106,0.603339733,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.065736978,0.063520198,0.681818182,0.194901231,0.195134225,0.05240621,0.311983471,0.071957237,0.440376262,0.41352678,0.057142857,0.164237413,0.96265679,0.880029148,0.107293648,0.127233199,0.485015122,0.001541506,0.01206546,0.06269701,0.105095166,0.087813745,0.101406074,1
ABCC12,0,0.030828516,0,0.067164179,0.011737089,0.023255814,0.020408163,0,0.003561254,0.032099294,0.037086093,0,0,0.046046364,0.02970297,0,0.013257576,0.019736842,0,0.034674252,0,0.094201064,0.062290233,0.096517426,0.810305449,0.636109057,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.069150927,0.020287591,0.681818182,0.194561552,0.194776483,0.055584019,0.346418733,0.065378289,0.402946076,0.38980002,0.028571429,0.173478143,0.97462937,0.881826145,0.136725265,0.218010463,0.422947886,0,0,0.062319948,0.123616868,0.102354027,0.118642221,1
ABCC2,0,0.030828516,0,0.067164179,0.025821596,0.023255814,0,0,0.000712251,0.025572437,0.02781457,0,0,0.034614163,0.04620462,0,0.024621212,0.032894737,0,0.027427875,0,0.071157255,0.264442694,0.278870296,0.909136863,0.123124181,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.062282629,0.046515476,0.409090909,0.410763326,0.41098703,0.25051586,0.031680441,0.035361842,0.306349414,0.679265889,0.114285714,0.166428509,0.96408205,0.891066576,0.143651225,0.224075376,0.340344819,0.000773465,0.022199798,0.06738886,0.132551005,0.108230142,0.131013046,1
